中国小说史略,鲁迅,9.08979,3879
直到花豆煮熟,[日]安房直子,9.089,1455
绿山墙的安妮,[加] 露西·莫德·蒙哥玛利,9.08673,9308
象棋的故事,[奥] 斯台芬·茨威格,9.08546,10288
战争与和平,[俄] 列夫·托尔斯泰,9.08479,15673
The Picture of Dorian Gray,Oscar Wilde,9.08476,1890
银河帝国5：迈向基地,[美] 艾萨克·阿西莫夫,9.08336,4549
自由论,[英] 以赛亚·伯林,9.08227,1252
天才的编辑,[美] A.司各特·伯格,9.07635,1628
王小波全集,王小波,9.07519,18237
美国纽约摄影学院摄影教材,美国纽约摄影学院,9.07391,13714
沉默的大多数,王小波,9.07305,122659
夜行记,王小波,9.07278,2065
人鼠之间,[美] 约翰·斯坦贝克（John Steinbeck）,9.06569,6327
故事新编,鲁迅,9.06425,18614
金蔷薇,[俄]帕乌斯托夫斯基,9.0626,6494
大师与玛格丽特,布尔加科夫,9.06232,2038
直捣蜂窝的女孩,[瑞典] 斯蒂格·拉森,9.06159,5733
反抗者,[法] 加缪,9.06049,1420
悉达多,[德] 赫尔曼·黑塞,9.06001,38502
美的历程,李泽厚,9.05783,23431
春秋来信,张枣,9.05367,1498
逃避自由,[美] 艾里希·弗洛姆,9.05281,7633
中国哲学简史,冯友兰,9.05131,24633
中国文化要义,梁漱溟,9.04843,3799
莎士比亚喜剧悲剧集,莎士比亚,9.04607,3603
社会心理学,戴维·迈尔斯 (David Myers),9.0437,17922
周易译注,黄寿祺,9.04339,1097
二十世纪西方文学理论,特雷·伊格尔顿 (TERRY EAGLETON),9.03752,2207
消失中的江城,何偉 Peter Hessler,9.03663,3025
Flipped,Wendelin Van Draanen,9.03627,6581
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,9.03622,36803
论自由,[英] 约翰·穆勒,9.03603,8365
基督山伯爵,大仲马,9.03536,120640
悲惨世界,[法] 雨果,9.03311,53787
世说新语,&lt;南朝宋&gt;刘义庆 著,9.03165,5080
诗艺,[阿根廷] 博尔赫斯,9.03157,1812
故事,[美] 罗伯特·麦基,9.02911,7031
阿勒泰的角落,李娟,9.02883,16172
罪与罚,陀思妥耶夫斯基 (Dostoevsky),9.0287,32925
茶馆,老舍,9.02857,16689
我的精神家园,王小波,9.02706,39483
长袜子皮皮,[瑞典] 阿斯特丽德·林格伦,9.02706,7831
追寻逝去的时光,[法] 马塞尔·普鲁斯特 原著,9.0219,1297
月亮和六便士,[英] 毛姆,9.02104,153889
莎士比亚悲剧集,[英] 莎士比亚,9.02039,2560
生育制度,费孝通,9.01866,1870
海明威短篇小说全集,海明威,9.01751,1142
亲密关系,罗兰•米勒 (Rowland Miller),9.01632,17823
战国策,缪文远,9.01533,2701
平凡的世界,路遥,9.01477,329086
人间词话,王国维,9.01298,42635
红色骑兵军,巴别尔,9.0126,1635
罗杰疑案,[英] 阿加莎·克里斯蒂,9.01222,41646
大师和玛格丽特,[俄] 布尔加科夫,9.01066,5731
佩德罗·巴拉莫,[墨西哥] 胡安·鲁尔福,9.01018,6781
绿毛水怪,王小波,9.00966,18321
文学讲稿,弗拉基米尔·纳博科夫,9.009,2389
西线无战事,[德] 埃里希·玛丽亚·雷马克,9.00643,3404
政治学,[古希腊] 亚里士多德,9.00557,2084
天人五衰,(日)三岛由纪夫,9.00532,2856
卡夫卡小说全集,[奥] 卡夫卡,9.004,5973
玻璃球游戏,[德] 赫尔曼·黑塞,9.00393,4499
我也有一个梦想,林达,9.00341,13500
Harry Potter and the Half-Blood Prince,J. K. Rowling,9.00265,4791
哈利·波特与火焰杯,[英] J. K. 罗琳,9.00161,124584
城南旧事,林海音 文,9.0012,87795
新名字的故事,[意] 埃莱娜·费兰特,9.00017,37793
哈利·波特与死亡圣器,[英] J. K. 罗琳,9.00002,98673
撒哈拉的故事,三毛,9,181012
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳,9,129549
笑傲江湖,金庸,9,83198
射雕英雄传,金庸,9,77779
我与地坛,史铁生,9,51691
寻路中国,[美] 彼得·海斯勒,9,39413
历史深处的忧虑,林达,9,34935
江城,[美] 彼得·海斯勒,9,34553
教父,[美]马里奥·普佐,9,29656
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗,9,28703
最好的告别,[美] 阿图·葛文德（Atul Gawande）,9,21897
永恒的终结,[美] 艾萨克·阿西莫夫,9,21588
异乡人,(法) 加缪,9,16182
冬牧场,李娟,9,15959
鹿鼎记,金庸,9,11872
银河帝国：基地,[美] 艾萨克·阿西莫夫,9,10393
强风吹拂,三浦紫苑,9,9865
失明症漫记,(葡)若泽·萨拉马戈,9,9591
狂热分子,[美] 埃里克·霍弗,9,9392
神秘的魔法石,J.K. 羅琳,9,9101
牡丹亭,汤显祖,9,8277
遥远的向日葵地,李娟,9,6148
万物既伟大又渺小,[英] 吉米·哈利（James Herriot）,9,5301
人间词话手稿本全编,王国维,9,5151
沙之书,[阿根廷] 豪·路·博尔赫斯,9,5027
惶然录,[葡] 费尔南多·佩索阿,9,4669
巴黎评论·作家访谈Ⅰ,《巴黎评论》编辑部,9,4166
三毛从军记全集,张乐平,9,4145
火盃的考驗,J.K. 羅琳,9,4120
陈寅恪魏晋南北朝史讲演录,万绳楠,9,3905
离婚,老舍,9,3774
新月集·飞鸟集,[印] 泰戈尔,9,3548
心灵的焦灼,[奥]斯蒂芬·茨威格,9,3070
基地前传2·迈向基地,（美）艾萨克·阿西莫夫,9,2711
以你的名字呼喚我,安德列．艾席蒙,9,2710
联邦党人文集,汉密尔顿,9,2596
天渊,[美] 弗诺·文奇,9,2567
诗学,[古希腊] 亚里士多德,9,2559
斐多,柏拉图,9,2407
野蛮大陆,[英] 基思·罗威,9,2253
伯罗奔尼撒战争史,[古希腊]修昔底德,9,2205
七缀集,钱锺书,9,2025
解体概要,[法] 萧沆,9,1981
大学·中庸,王国轩,9,1945
When Breath Becomes Air,Paul Kalanithi,9,1917
莎乐美 道林・格雷的画像,Oscar Wilde,9,1702
罗杰・艾克罗伊德谋杀案,阿加莎·克里斯蒂,9,1659
态度改变与社会影响,菲利普·津巴多 (Philip G. Zimbardo),9,1577
睡魔1：前奏与夜曲,[美] 尼尔·盖曼（Neil Gaiman）编,9,1542
论法的精神,(法)孟德斯鸠,9,1505
檀香刑,莫言,9,1504
哲学研究,路德维希·维特根斯坦,9,1467
The Martian,Andy Weir,9,1420
我们赖以生存的隐喻,[美] 乔治·莱考夫,9,1331
王小波全集 第七卷,王小波,9,1287
死屋,[英]丹尼尔·比尔,9,1252
中国古代思想史论,李泽厚,9,1228
Java并发编程实战,Brian Goetz,9,1200
未来千年文学备忘录,（意）卡尔维诺,9,1182
小公主,[美] 弗朗西斯·霍奇森·伯内特,9,1158
Murder on the Orient Express,Agatha Christie,9,1140
怪老头儿,孙幼军,9,1110
地狱一季,阿尔蒂尔・兰波,9,1066
