name,author,Avg,Num
忠诚的代价,罗恩・萨斯坎德,7.6,31
The Billion Dollar Molecule,Barry Werth,9.3,30
分久必合,比尔·维拉斯克,7.7,23
They Made America,Harold Evans,8.7,23
Thirteen Days,Robert F. Kennedy,8.9,24
Moneyball,Michael Lewis,8.6,230
Black Hawk Down,Mark Bowden,8.8,20
Never Give In,Winston S. Churchill,8.8,23
疯狂星期二,(美)大卫·威斯纳 文/图,8.9,1121
今天运气怎么这么好,[日] 宫西达也,8.685266030013642,1466
我妈妈,(英)安东尼·布朗,8.8,3738
那不勒斯故事四部曲,艾琳娜.斐蘭德,9.2,7808
鱼王,(俄罗斯)维克托·阿斯塔菲耶夫,8.901120709782862,4283
醒来的女性,[美] 玛丽莲·弗伦奇,8.8,3310
巨人的陨落,[英] 肯·福莱特,8.9,62734
The Story of a New Name,Elena Ferrante,8.8,360
新身分新命運,艾琳娜.斐蘭德,8.2,45
不祥的蛋,米·布尔加科夫,8.3,369
马德里画稿,[墨]阿尔丰索·雷耶斯,7.610000000000001,180
忧伤动物,[德]莫妮卡·马龙,7.6,72
希尼三十年文选,[爱尔兰] 谢默斯·希尼,9.2,211
青年狗艺术家的画像,[英] 狄兰·托马斯,7.4481012658227845,158
奥斯特利茨,[德] 温弗里德·塞巴尔德,8.918461538461539,520
树上的时光,韩奈德,8.3,192
我的精神家园,王小波,9.02705974723298,39483
万寿寺,王小波,8.565024678215426,10333
水之焰,[日] 松本清张,7.1,499
寻欢作乐,[英] 威廉·萨默塞特·毛姆,8.363550441750565,9734
斯通纳,[美] 约翰·威廉斯,8.8,30136
恶棍列传,[阿根廷] 豪·路·博尔赫斯,8.365709900230236,6515
探讨别集,(阿根廷)豪·路·博尔赫斯,8.695960591133007,1015
诗艺,[阿根廷] 博尔赫斯,9.031567328918323,1812
私人藏书：序言集,[阿根廷] 豪·路·博尔赫斯,8.1,552
诗人,[阿根廷] 博尔赫斯,8.0,555
克罗诺皮奥与法玛的故事,[阿根廷] 胡里奥·科塔萨尔,8.8,2981
红与黑,[法] 司汤达,8.277751484573827,67191
倾城之恋,,8.562719719305084,205205
悲惨世界,[法] 雨果,9.03097381494901,53542
伊豆的舞女,[日] 川端康成,8.196651668014201,56894
雾都孤儿,[英]狄更斯,8.121681385792447,44047
The Thorn Birds,Colleen McCullough,8.9,572
巴比伦,[法]雅丝米娜·雷札,7.595555555555556,135
女俘爱玛,[阿根廷] 塞萨尔·艾拉,8.0,99
无限,(爱尔兰)约翰·班维尔,7.9,82
低音大提琴&lt;典藏本&gt;,派屈克•徐四金,8.1,53
漂泊手记,（加拿大）安妮·麦珂尔丝,8.7,73
菩萨凝视的岛屿,（加）翁达杰,8.2,152
法兰西遗嘱,安德烈・马奇诺,8.2,41
冠军早餐 囚鸟,（美）冯内古特,8.757565789473684,1216
北方档案,玛格丽特・尤瑟纳尔,8.5,182
何谓永恒,[法] 玛格丽特·尤瑟纳尔,8.564615384615385,195
人鬼之间,胡安·鲁尔福（Juan Rulfo）,8.9,59
鸟瞰古文明,[法] 让-克劳德·戈尔万,9.3,947
4321,[美] 保罗·奥斯特,8.7,1345
建筑师,(美) 大卫·马祖凯利,9.2,2385
渺小一生,[美] 柳原汉雅,8.293823529411766,2040
天才的编辑,[美] A.司各特·伯格,9.07635135135135,1628
消失的塞布丽娜,[美] 尼克·德纳索,8.2,1030
给作家标个价,[日] 出久根达郎,8.2,360
The Diary of a Bookseller,Shaun Bythell,8.3,124
暗黑女子,[日] 秋吉理香子,7.3,69
黑面之狐,[日]三津田信三,7.6,95
你消失的那一夜,[日]中村文则,5.3,39
包法利夫人,福楼拜,8.270780532598716,38115
一位女士的画像,[美] 亨利·詹姆斯,8.607726269315673,453
米德尔马契,乔治 艾略特,8.967377666248431,797
洪堡的礼物,[美]索尔·贝娄,8.50670731707317,820
The Adventures of Huckleberry Finn,Mark Twain,8.3,348
哈克贝里.芬历险记,[美]马克·吐温,8.4,15
哈克贝里·芬历险记,马克·吐温,8.318191546281435,1869
哈克贝里·费恩历险记,马克・吐温,8.2,1868
独自在家1,[法] 法比安·韦尔曼 编,7.8,58
护身符1,[美] 木部石,7.9,22
最后的巨人,[法]法兰斯瓦·普拉斯,9.249367088607595,79
中村佑介的插画教室,[日] 中村佑介,9.1,24
爱的救赎,[法] 让-皮埃尔·吉布拉,9.1,96
变形记,[法] 埃里克·科贝昂 编,8.403810272021998,40732
福克纳随笔,[美] 威廉·福克纳,8.107210031347963,319
去吧，摩西,[美] 威廉·福克纳,8.85921855921856,819
村子,[美] 威廉·福克纳,8.92542372881356,118
没有被征服的,[美] 威廉·福克纳,8.8,109
押沙龙，押沙龙！,[美] 威廉·福克纳,9.216026587887741,1354
寻金者,(法)勒克莱齐奥,7.63013698630137,73
如凶鳥忌諱之物,三津田信三,7.2,131
算計,米澤穗信,7.5,445
骸之爪,道尾秀介,7.341176470588235,646
影子,道尾秀介,7.8,687
如密室牢籠之物,三津田信三,7.4,95
山魔の如き嗤うもの,三津田信三,9.0,10
爱的宝藏,[法] 菲利普•索莱尔斯,8.0,44
贝托尔特·布莱希特,[德] 雅恩·克诺普夫(Jan Knopf),8.1,36
水晶酒店的套房,[法]奥利维埃·罗兰,7.5,29
Pale Fire,Vladimir Nabokov,9.217073170731707,123
A Portrait of the Artist as a Young Man,James Joyce,9.0,201
De Profundis,Oscar Wilde,9.3,416
A Tale of Two Cities,Charles Dickens,8.78477508650519,867
The Unbearable Lightness of Being,Milan Kundera,9.1,977
The Great Gatsby,F. Scott Fitzgerald,8.9,5128
Beloved,Toni Morrison,8.8,473
The Metamorphosis,Franz Kafka,8.9,191
Anna Karenina,Leo Tolstoy,9.1,169
十七岁的轻骑兵,路内,7.7,657
天使坠落在哪里,路内,7.897177798682973,2126
花街往事,路内,8.6,2707
云中人,路内,7.691610044313146,3385
说谎者雅各布,尤雷克·贝克尔,7.7,66
帝国轶闻,〔墨西哥〕费尔南多·德尔·帕索,9.187719298245614,228
三毛钱小说,[德] 贝·布莱希特,8.003137254901961,255
拉里的家宴,卡罗尔・希尔兹,7.7,26
阿尔特米奥·克罗斯之死,卡洛斯·富恩特斯,8.168750000000001,336
名字,唐·德里罗,7.4,88
王家大道,（法）安德烈·马尔罗,7.556074766355141,107
驾驶席 布罗迪小姐,缪丽尔·斯帕克,7.3,46
